date;STXE 600;STXE 600 Banks € Pr;STXE 600 HealthCare € Pr;STXE 600 InduGd&Ser € Pr;STXE 600 Per&HouGds € Pr;STXE 600 Insurance € Pr;STXE 600 Food&Bevrg € Pr;STXE 600 Technology € Pr;STXE 600 Oil&Gas € Pr;STXE 600 Chemicals € Pr;STXE 600 Utilities € Pr;STXE 600 Auto&Parts € Pr;STXE 600 Telcomm € Pr;STXE 600 BasicResou € Pr;STXE 600 Constr&Mtr € Pr;STXE 600 Retail € Pr;STXE 600 Media € Pr;STXE 600 FinanServc € Pr;STXE 600 Trav&Leisr € Pr;STXE 600 RealEstate € Pr
31/01/2001;0,0075;0,0516;-0,0642;0,0199;0,0083;-0,0517;-0,0829;-0,0114;0,0244;-0,032;-0,0463;0,0817;0,0784;0,0276;0,0446;0,0047;0,0422;0,0406;0,0031;0,0564
28/02/2001;-0,0741;-0,0759;0,0215;-0,0737;-0,0363;-0,0617;0,0345;-0,2867;-0,0111;0,0102;-0,0123;0,0442;-0,2085;0,0417;0,0023;0,0065;-0,0976;-0,0813;-0,0166;-0,0063
30/03/2001;-0,0371;-0,021;-0,0157;-0,0925;-0,0919;-0,0927;-0,0093;-0,0924;0,0139;-0,0641;-0,0096;-0,0682;-0,0241;-0,0331;-0,0415;-0,0278;-0,0768;-0,0449;-0,05;-0,0052
30/04/2001;0,0666;0,0547;-0,0051;0,0631;0,0913;0,031;0,0106;0,2156;0,071;0,0237;0,0159;0,086;0,1025;0,1104;0,0576;0,0173;0,1258;0,0459;0,0787;-0,0078
31/05/2001;0,0048;-0,0023;0,0604;0,0192;-0,0023;-0,014;0,0524;-0,0649;0,0416;0,0093;0,045;-0,007;-0,1106;0,055;0,0187;0,0331;-0,05;0,0161;0,0238;0,0436
29/06/2001;-0,0349;-0,019;0,0144;-0,0947;-0,0208;0,0293;0,0426;-0,1626;-0,048;-0,0111;0,0078;-0,0227;-0,0947;-0,0685;-0,0404;-0,0128;-0,0911;-0,0386;0,0053;-0,0214
31/07/2001;-0,0367;-0,0593;-0,0258;-0,0663;0,0063;-0,0249;-0,0464;-0,0922;-0,0208;-0,0151;-0,0039;0,0142;-0,0363;-0,074;-0,0266;-0,0313;-0,026;-0,0334;-0,0518;-0,0248
31/08/2001;-0,0579;-0,0055;-0,0687;-0,0841;-0,0468;-0,0545;-0,0379;-0,1959;-0,0267;-0,0789;-0,0269;-0,1063;-0,1604;0,0291;-0,0107;-0,035;-0,094;-0,0291;-0,0418;-0,0073
28/09/2001;-0,1044;-0,1331;0,0157;-0,1788;-0,1659;-0,1766;-0,0395;-0,1733;-0,0751;-0,1125;-0,0647;-0,2639;-0,0191;-0,1425;-0,1083;-0,0893;-0,208;-0,1488;-0,1934;-0,0871
31/10/2001;0,0423;0,0382;-0,0187;0,0735;0,0613;0,0448;-0,0283;0,2554;0,0132;0,0227;0,0001;0,1274;0,0776;0,0864;0,0377;0,0256;0,1081;0,023;0,0593;0,0179
30/11/2001;0,0425;0,0597;-0,0268;0,0935;0,0665;0,0314;0,0385;0,1812;-0,0671;0,0933;-0,028;0,1418;0,0874;0,1283;0,0453;0,0594;0,0784;0,0479;0,0619;-0,0055
31/12/2001;0,0341;0,0319;0,0219;0,032;0,0658;0,0061;0,0447;0,0541;0,0697;0,0012;0,0167;0,0471;0,0127;0,0329;0,0306;0,0285;0,0303;0,0398;0,0524;0,0097
31/01/2002;-0,0201;0,0015;-0,0221;-0,0159;0,0117;-0,0614;0,0219;-0,0531;0,0169;0,0324;0,0116;0,0231;-0,1114;0,0497;-0,0113;-0,0237;-0,088;-0,0231;0,0218;0,0458
